module_id,canonical_module_name,legacy_names,module_summary,current_surfaces,current_routes,navigation_reachability,implementation_status,disposition,disposition_rationale,owning_gate,accountable_owner,primary_metric,metric_definition,current_evidence,dependencies,route_strategy,flag_strategy,reentry_condition,follow_up_packet,migration_risk,compatibility_risk,rollback_approach,source_reference,open_questions
AX-040,Preferences and session state,,Setup | session | progression |…,Setup | session | progression |…,cross-route,STATE_LAYER | CROSS_ROUTE,BROAD_DATASTORE_FACADE_PLUS…,IMPROVE,SRC=Simplify / Reconcile;NORM=IMPRO…,G2,sajadalireza|W8,domain_truth_preference_violation_count,Count of domain facts incorrectly owned by pr…,Observed | app/data/local/AxiomPreferences.kt:22,Most modules | MainActivity | notificatio…,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:WP-203 | WP-204 | WP-206 | WP-208,WP-203 | WP-204 | WP-206 | WP-208,HIGH,HIGH,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-040|REG|LIVE,"First-Win session, assignment, comple…"
AX-041,Domain models and use cases,,Goal-adjacent Mission | Hunter…,Goal-adjacent Mission | Hunter…,cross-route,DOMAIN_LAYER | CROSS_ROUTE,IMPLEMENTED,IMPROVE,SRC=Refactor Core;NORM=IMPROVE,G2 | G3,sajadalireza|W1,canonical_domain_contract_coverage,Percent of critical Goal/Mission/Project/Skil…,Observed | app/domain/usecase/CreateMissionUseC…,Repositories | engines | presentation Vie…,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:WP-106 | WP-205 | Future G3 canonical…,WP-106 | WP-205 | Future G3 canonical-domain packet,HIGH,HIGH,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-041|REG|LIVE,Canonical Goal/Mission/Project/Skill…
AX-042,Repositories and dependency injection,,Data access for all product dom…,Data access for all product dom…,cross-route,DATA_ACCESS_LAYER | CROSS_R…,IMPLEMENTED,KEEP,SRC=Keep + Boundary Cleanup;NORM=KE…,G1 | G2 | G3,sajadalireza|W8,repository_contract_coverage,Percent of critical repository interfaces cov…,Observed | app/di/AppModule.kt:17,Room | DataStore | remote endpoints | Hil…,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:WP-106 | Future G3 repository-contrac…,WP-106 | Future G3 repository-contract packet,MEDIUM,MEDIUM,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-042|REG|LIVE,Fourteen repository bindings are regi…
AX-043,Cloud sync and Supabase transport,,Session upgrade | profile backu…,Session upgrade | profile backu…,network | cross-route,NETWORK_LAYER | CROSS_ROUTE,IMPLEMENTED,FREEZE,SRC=Freeze Optional;NORM=FREEZE,G6 | G7,sajadalireza|W8,sync_data_loss_rate,"Lost, duplicated or overwritten domain record…",Unknown | app/data/repository/CloudSyncReposito…,BuildConfig credentials | DataStore | rep…,RS_FREEZE_STABLE,FS_SYNC_DEFAULT_OFF_WITH_BACKUP,GATE+SECURITY+METRIC+ROLLBACK,WP-104 | WP-106 | Future G6/G7 sync validation pack…,HIGH,HIGH,RB_DISABLE_STAGE_RETAIN_DATA,MPB:AX-043|REG|LIVE,Remote correctness was not tested; lo…
AX-044,Product analytics and experimentation,,Cross-product events | future F…,Cross-product events | future F…,network | cross-route,MEASUREMENT_LAYER | CROSS_R…,MINIMAL,IMPROVE,SRC=Build Now;NORM=IMPROVE,G2 | G3 | G4,sajadalireza|W8,activation_event_completeness_rate,Percent of required funnel events recorded on…,Observed | app/core/AnalyticsLogger.kt:20,BuildConfig credentials | event call site…,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:WP-206 | WP-208 | Future G4 experimen…,WP-206 | WP-208 | Future G4 experimentation packet,HIGH,HIGH,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-044|REG|LIVE,"No local queue, typed schema, consent…"
AX-045,Crash and startup diagnostics,,Startup integrity | uncaught fa…,Startup integrity | uncaught fa…,network | logs | startup,STARTUP_AND_NETWORK_DIAGNOS…,CUSTOM_DIRECT_REPORTERS;_RE…,IMPROVE,SRC=Improve Now;NORM=IMPROVE,G1 | G2 | G3 | G4,sajadalireza|W8,crash_free_users_rate,Percent of users without an uncaught crash du…,Observed | app/core/CrashReporter.kt:20,BuildConfig credentials | Application boo…,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:WP-104 | WP-105 | WP-106,WP-104 | WP-105 | WP-106,MEDIUM,MEDIUM,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-045|REG|LIVE,Remote delivery was not tested; opera…
AX-046,"Privacy, security and consent",,Account | AI | analytics data h…,Account | AI | analytics data h…,cross-route,CROSS_ROUTE_GOVERNANCE,NO_PRODUCT-ANALYTICS_CONSEN…,IMPROVE,SRC=Build Now;NORM=IMPROVE,G1 | G2,sajadalireza|W8,unconsented_upload_count,"Number of analytics, AI or diagnostic uploads…",Observed | app/data/local/AxiomPreferences.kt:49,Account | AI | analytics | cloud sync | D…,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:WP-104 | WP-106 | WP-206,WP-104 | WP-106 | WP-206,HIGH,HIGH,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-046|REG|LIVE,"Encryption, server policy and real da…"
AX-047,Offline and resilience behavior,,All network-sensitive journeys,All network-sensitive journeys,cross-route,CROSS_ROUTE_BEHAVIOR,LOCAL-FIRST_STORAGE_AND_AI_…,IMPROVE,SRC=Prove Now;NORM=IMPROVE,G2 | G3,sajadalireza|W8,offline_journey_success_rate,Percent of required journeys completed or saf…,Unknown | app/core/FeatureFlags.kt:5,Room | DataStore | fallback copy | networ…,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:WP-207 | WP-209,WP-207 | WP-209,HIGH,MEDIUM,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-047|REG|LIVE,Offline behavior cannot be generalize…
AX-048,"Build, dependencies and release",,APK production | delivery,APK production | delivery,build,BUILD_AND_RELEASE,DEBUG_BUILD_GRAPH_PASSES;_R…,IMPROVE,SRC=Critical Improve;NORM=IMPROVE,G1,sajadalireza|W8,clean_clone_build_success_rate,Percent of clean supported environments compl…,Tested | settings.gradle.kts:37,AGP | Kotlin | Compose | Hilt | Room | si…,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:WP-101 | WP-102 | WP-103 | WP-104 | W…,WP-101 | WP-102 | WP-103 | WP-104 | WP-105 | WP-107,HIGH,HIGH,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-048|REG|LIVE,No Gradle wrapper; build-time font do…
AX-049,Unit tests,,Domain engines | burnout monito…,Domain engines | burnout monito…,local JVM,LOCAL_JVM_TEST,SEVEN_SOURCE_FILES_AND_44_T…,IMPROVE,SRC=Expand Now;NORM=IMPROVE,G1 | G2 | G3,sajadalireza|W8,critical_domain_test_coverage,Percent of identified critical domain contrac…,Tested | test/domain/engine/XPEngineTest.kt:14,Gradle | domain modules | Body Map | AX-0…,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:WP-105 | WP-107 | Future G3 domain-te…,WP-105 | WP-107 | Future G3 domain-test expansion p…,MEDIUM,MEDIUM,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-049|REG|LIVE,Coverage is concentrated; critical Fi…
AX-050,"Instrumented, UI and migration tests",,Room migration | Body Map UI/vi…,Room migration | Body Map UI/vi…,Android device,ANDROID_TEST,FOUR_TEST_SOURCE_FILES;_NOT…,IMPROVE,SRC=Execute Now;NORM=IMPROVE,G2,sajadalireza|W8,required_instrumented_suite_pass_rate,"Percent of required migration, navigation, ac…",Unknown | androidTest/db/MigrationTest.kt:25,Room testing | Compose UI test | Body Map…,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:WP-204 | WP-207 | WP-209,WP-204 | WP-207 | WP-209,MEDIUM,MEDIUM,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-050|REG|LIVE,Source presence must not be interpret…
AX-051,Performance and observability,,Startup | frame pacing | memory…,Startup | frame pacing | memory…,cross-route,CROSS_ROUTE_OBSERVABILITY,NO_BASELINE,IMPROVE,SRC=Baseline Then Improve;NORM=IMPR…,G3 | G4,sajadalireza|W8,representative_performance_budget_pass_rate,"Percent of defined startup, frame, memory, ne…",Unknown | app/core/AppInitDiagnostics.kt:1,Android runtime | build variants | analyt…,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:Future G3/G4 performance-baseline pac…,Future G3/G4 performance-baseline packet,MEDIUM,MEDIUM,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-051|REG|LIVE,No app performance inference is permi…
AX-052,Seed and blueprint data,Seed data | Blueprint V5.1 data,Initial Skills | profile | blue…,Initial Skills | profile | blue…,initialization | blueprint_wizard,INITIALIZATION | BLUEPRINT_…,IMPLEMENTED,IMPROVE,SRC=Split / Remove Personal…;NORM=I…,G2,sajadalireza|W1,personal_seed_on_fresh_install_count,Number of personal or domain-heavy seed recor…,Observed | app/data/SeedDataHelper.kt:1,Initialize | repositories | Prefs | AX-00…,RS_ACTIVE_PRESERVE,FS_NO_CHANGE,ONLY:WP-202 | WP-204,WP-202 | WP-204,HIGH,HIGH,RB_REVERT_PR_KEEP_IDS_DATA,MPB:AX-052|REG|LIVE,Approved First-Win architecture requi…
